tiempo,valor,unidad,codigo_indicador,nombre_indicador,codigo_region,nombre_region,fuente
2009,621695836401.7,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2008,601894448534.6,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2007,528219004579.2,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2006,407478726790.7,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2005,309133559889.7,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2004,280005602981.0,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2003,242794661195.8,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2002,212808670565.4,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2001,188262467143.9,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2000,180219572457.3,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1999,159177712162.7,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1998,146532967467.4,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1997,126825744292.8,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1996,115646958549.8,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1995,106729348591.6,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1994,94492604765.2,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1993,93094102080.9,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1992,74724062678.6,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1991,67869835554.2,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1990,67567434907.5,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1989,60726290584.4,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1988,62170653168.3,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1987,63415517066.6,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1986,54436606754.5,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1985,48266651270.2,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1984,41255709573.4,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1983,40805944515.4,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1982,39621714743.6,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1981,39888316606.7,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1980,37625763685.5,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1979,31909776491.8,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1978,27396292669.9,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1977,21588452098.6,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1976,14318940784.5,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1975,11685564423.5,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1974,10273530956.2,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1973,9002238743.7,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1972,7487194493.4,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1971,6402531669.7,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
1970,5075880995.8,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2023,736015482047.7,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2022,695060494740.1,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2021,678315494793.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2020,623174599232.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2019,558620790099.3,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2018,522394217702.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2017,485820066517.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2016,433745789407.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2015,406024629162.5,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2014,377436188600.8,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2013,346052239975.4,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2012,302005117529.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2011,268455482268.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2010,246683708992.3,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2009,237179325986.6,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2008,209845730829.3,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2007,194627329114.8,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2006,175922537638.6,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2005,199774194008.8,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2004,223067695943.9,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2003,216684155673.5,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2002,204868957700.1,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2001,193265982885.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2000,200836304517.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1999,207636867622.3,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1998,213368662677.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1997,201341895525.1,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1996,209730835353.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1995,214806243309.8,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1994,208060140169.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1993,196099276440.8,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1992,189287423758.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1991,185384845214.7,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1990,175578366915.3,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1989,158894565677.5,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1988,152575355594.9,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1987,147632492224.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1986,123605375317.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1985,110047063530.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1984,92370318320.1,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1983,87391572481.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1982,78375458923.1,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1981,69067109033.7,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1980,59558426651.3,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1979,47515797739.8,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1978,41245753085.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1977,33048254801.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1976,24500850783.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1975,20771858243.8,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1974,16866611478.3,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1973,12644114747.8,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1972,9743199579.1,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1971,8336163510.2,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
1970,6414570257.0,USD,DT.DOD.DECT.CD,Deuda Externa,XI,IDA only,World Bank
2023,2053735781678.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2022,1994289389318.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2021,1973235112378.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2020,1926594030205.3,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2019,1926794016461.5,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2018,1882024004836.4,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2017,1763544246967.0,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2016,1667684687332.0,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2015,1632953916117.6,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2014,1601161327486.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2013,1446925683000.0,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2012,1292489067083.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2011,1143756643517.8,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2010,1012761302652.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2009,860307278647.0,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2008,827760908446.1,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2007,786881506901.0,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2006,696475341854.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2005,693965499544.1,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2004,755244626035.6,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2003,747418090328.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2002,706897981904.8,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2001,714804788331.8,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2000,697750103180.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1999,710273435422.6,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1998,678548228530.8,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1997,595884615007.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1996,565134890886.2,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1995,543698892901.2,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1994,478878292524.3,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1993,440017167609.8,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1992,402178718655.2,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1991,392641073221.4,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1990,378295738759.0,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1989,361435750090.3,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1988,361958588463.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1987,374206359629.1,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1986,339981199315.0,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1985,322296662233.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1984,311066860487.4,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1983,296700610095.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1982,276713664927.8,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1981,241872229106.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1980,196997056645.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1979,160714508465.2,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1978,136098326541.8,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1977,113301537386.2,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1976,88312328563.3,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1975,72269156736.1,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1974,59798873333.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1973,45735644010.7,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1972,38315441806.6,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1971,31870924565.2,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
1970,28439522409.9,USD,DT.DOD.DECT.CD,Deuda Externa,XJ,Latin America & Caribbean (excluding high income),World Bank
2023,8836011577015.8,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2022,8630641114994.7,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2021,8819264798617.7,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2020,8173560998905.7,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2019,7753862035930.3,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2018,7382158181338.6,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2017,6885155584722.5,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2016,6124977552798.1,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2015,5901515298486.2,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2014,6290721047709.0,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2013,5712615519510.6,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2012,5003008247851.0,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2011,4486974873803.9,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2010,3864819219218.9,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2009,3171114854849.7,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2008,2913667808125.4,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2007,2730192212139.0,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2006,2347816257890.9,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2005,2207456991103.3,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2004,2254966501063.5,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2003,2090542885509.8,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2002,1939392771482.4,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2001,1884868284549.6,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
2000,1857570910572.7,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
1999,1895764744660.3,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
1998,1858935235189.6,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
1997,1723508641260.5,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
1996,1675250484259.7,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
1995,1621182145038.0,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
1994,1454050559230.0,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
1993,1315855692605.6,USD,DT.DOD.DECT.CD,Deuda Externa,XO,Low & middle income,World Bank
